release,feature,Mean LOC,Normalized Mean LOC
2024-03,GEF,8.022680960396917,28.46588282897865
2024-03,GMF Runtime,9.113049595497714,88.99317996406113
2024-03,JDT,19.60585015220116,62.842060413497904
2024-03,m2e,8.838286917856307,90.44001206239602
2024-03,Mylyn,8.987526695348045,58.2769634119728
2024-03,PDE,10.06456766658403,98.50049251414796
2024-03,PTP,8.369560844787127,0.0
2024-03,RAP,8.782484282640935,72.6254737463988
2024-03,Scout,7.207846410684474,3.9068146783872515
2024-03,Subversive,12.472635983263599,99.53003585001271
2024-03,WebTools,7.961461001019419,16.69564228897703
2024-03,Window Builder,13.655676006047544,93.24769386047875
